30,3
0,0,200
1,9.9999999999,200
2,9.9999999999,200
3,19.9864402528,200
4,29.9188888429,200
5,39.7579128187,200
6,49.4659178193,200
7,59.0079089539,200
8,68.3521058502,200
9,77.4704059058,200
10,86.3386936351,200
11,94.9369902782,200
12,103.2494486768,200
13,111.2642181525,200
14,118.9732152818,200
15,126.3718290388,200
16,133.4585723876,200
17,140.2346908772,200
18,146.7037637012,200
19,152.871351892,200
20,158.7446945867,200
21,164.332328388,200
22,169.6435408809,200
23,174.6881483569,200
24,179.4777028332,200
25,184.0264037137,200
26,188.3394894023,200
27,192.3840520321,200
28,196.2219460325,200
29,201.1075692885,200
